Time (s),Volume (m^3),Ar,He,Ne,N2,C7H16(1),C2H5(7),C5H11(6),C4H9(4),C3H7(5),C2H4(17),CH3(12),H(9),H2(49),C2H3(42),C#C(51),C3H6(85)
6.407754439753317e-10,41.572689899652595,0.98,0.0,0.0,0.0,0.019992091238026925,4.671907138120569e-06,4.6496026649734245e-06,3.236060979473008e-06,3.256260789770353e-06,2.6790702422350638e-08,2.8985183368342124e-09,7.938555101188163e-10,1.5720160294347612e-19,2.7869154021454835e-17,9.464202332905073e-22,1.1656154475902755e-29
7.379480099491052e-10,41.572740111195145,0.98,0.0,0.0,0.0,0.019990892160113932,5.381126688068548e-06,5.351555043616186e-06,3.72566021655372e-06,3.7524389286617166e-06,3.552352110322814e-08,3.84591379863193e-09,1.0529814884280252e-09,2.760568045722563e-19,4.2560154400376754e-17,1.6601180401446967e-21,2.654627602767196e-29
9.322931418966522e-10,41.57284067833501,0.98,0.0,0.0,0.0,0.01998849422003712,6.8001427221499165e-06,6.752978097634739e-06,4.703956297580654e-06,4.7466583116127545e-06,5.6670064348797994e-08,6.143553640143516e-09,1.6809432215373605e-09,7.017778861786041e-19,8.578811021793453e-17,4.2108229458223495e-21,1.0462299211104397e-28
9.999999999999999e-10,41.572941437295725,0.98,0.0,0.0,0.0,0.019987658882117072,7.294686584545246e-06,7.24043623510612e-06,5.04449721363931e-06,5.0936112769997365e-06,6.518888963284625e-08,7.07037083436545e-09,1.9340848333226172e-09,9.287332998164782e-19,1.0585612592645424e-16,5.568243433405665e-21,1.580380697383275e-28
1.1266382738441992e-09,41.572941437295725,0.98,0.0,0.0,0.0,0.01998609656759714,8.219926841467409e-06,8.151098396273592e-06,5.681050310821644e-06,5.743354563752169e-06,8.27183890048513e-08,8.979442854403404e-09,2.4552506970590813e-09,1.4966497004266828e-18,1.5134560169679005e-16,8.960225205369922e-21,3.170379015435848e-28
1.3209834057917462e-09,41.57304238777533,0.98,0.0,0.0,0.0,0.019983699202759483,9.640477655039026e-06,9.545923343783254e-06,6.6569436026391695e-06,6.742518978478104e-06,1.1366119492717565e-07,1.2354918296398294e-08,3.3759830376678793e-09,2.831615844399709e-18,2.438694063557028e-16,1.691490462891998e-20,8.031310032893004e-28
1.5153285377392931e-09,41.57314352947219,0.98,0.0,0.0,0.0,0.019981302125489653,1.1061793773508301e-05,1.0937460327931274e-05,7.6316375179085e-06,7.744142870348897e-06,1.4949119511362528e-07,1.62713121402293e-08,4.443219223077295e-09,4.910663892236049e-18,3.6799070751748704e-16,2.9269518517568486e-20,1.787802567311273e-27
1.904018801634387e-09,41.57334638531465,0.98,0.0,0.0,0.0,0.01997650883351549,1.3906716375828264e-05,1.3710699875085138e-05,9.577432590879767e-06,9.754734449182466e-06,2.3578369577188304e-07,2.5732160414895524e-08,7.017518333581685e-09,1.2284740250491852e-17,7.295247296241839e-16,7.28959603174166e-20,6.798873116852048e-27
2.292709065529481e-09,41.57355000242201,0.98,0.0,0.0,0.0,0.01997171669139877,1.675468356608034e-05,1.6470875811000786e-05,1.1518446258998217e-05,1.1775060238876958e-05,3.415378572769846e-07,3.737255171527154e-08,1.0178777007974999e-08,2.5924645390997243e-17,1.2728951379768807e-15,1.531571059471043e-19,1.9950044380250374e-26
2.681399329424575e-09,41.5737543784019,0.98,0.0,0.0,0.0,0.019966925698863658,1.9605684287925944e-05,1.9218046646393773e-05,1.3454689227730336e-05,1.3805051515043964e-05,4.666958554210225e-07,5.12029755819125e-08,1.392762193894898e-08,4.8686086744786186e-17,2.034975890557499e-15,2.8637927354424984e-19,4.911685559046598e-26
3.070089593319669e-09,41.57395951087047,0.98,0.0,0.0,0.0,0.019962135855634396,2.24597075109895e-05,2.1952270630501362e-05,1.538617217878738e-05,1.5844639888874255e-05,6.112000747188101e-07,6.723384739564666e-08,1.8264677536728146e-08,8.398519278045988e-17,3.052576126408108e-15,4.918932638445424e-19,1.0662066076466848e-25
3.458779857214763e-09,41.57416539745269,0.98,0.0,0.0,0.0,0.019957347161435286,2.5316742230794028e-05,2.4673605752326682e-05,1.7312905770183896e-05,1.7893757305509446e-05,7.749931074953422e-07,8.547550876180242e-08,2.3190565934946933e-08,1.3580838192477202e-16,4.362448738717884e-15,7.920287343644877e-19,2.104552778157728e-25
3.847470121109857e-09,41.574372035782005,0.98,0.0,0.0,0.0,0.019952559615990698,2.817677746869722e-05,2.738210974185736e-05,1.9234900636295833e-05,1.9952336042447535e-05,9.580177529908371e-07,1.0593822788612607e-07,2.8705906996485213e-08,2.087218743192392e-16,6.001298674037829e-15,1.2121093124050427e-18,3.855416969316107e-25
4.624850648900045e-09,41.57478755825874,0.98,0.0,0.0,0.0,0.019942987970262897,3.3905805713076574e-05,3.276085395550088e-05,2.3064716612273663e-05,2.40976082403681e-05,1.3815341088607956e-06,1.535675472794774e-07,4.1507415237335375e-08,4.3903918905919007e-16,1.0412558198762416e-14,2.5283525463525e-18,1.0914992621337133e-24
5.4022311766902326e-09,41.57520605953937,0.98,0.0,0.0,0.0,0.019933420916247273,3.96467049294962e-05,3.808895997462731e-05,2.6875704710941284e-05,2.8279921292631974e-05,1.8812956426787065e-06,2.1020249674230973e-07,5.6674115947911126e-08,8.234258239034721e-16,1.657934746227529e-14,4.702973576520267e-18,2.6126767995462052e-24
6.1796117044804205e-09,41.57562752099754,0.98,0.0,0.0,0.0,0.019923858451741164,4.539938821302072e-05,4.336688043138702e-05,3.06679491616228e-05,3.249874523104361e-05,2.456852111942952e-06,2.759226157407703e-07,7.421088682082454e-08,1.4202608820295989e-15,2.4794419132570016e-14,8.046069049067235e-18,5.5348285296943385e-24
6.9569922322706085e-09,41.57605192414199,0.98,0.0,0.0,0.0,0.01991430057454296,5.116376906660606e-05,4.8595063922869966e-05,3.44415338203843e-05,3.675355526207756e-05,3.107756504998519e-06,3.5080630319558937e-07,9.41225697184869e-08,2.298117589188437e-15,3.535054651857294e-14,1.291546687276431e-17,1.0686961806683968e-23
8.511753287850984e-09,41.5769094821862,0.98,0.0,0.0,0.0,0.019895198573269122,6.272727952426801e-05,5.8903994438329034e-05,4.193305733008224e-05,4.536906001934696e-05,4.633837012534091e-06,5.283723430860712e-07,1.4108986089356417e-07,5.223962058119959e-15,6.465871691283658e-14,2.8903430632946366e-17,3.249794526164909e-23
9.999999999999999e-09,41.57777858838169,0.98,0.0,0.0,0.0,0.019876930940106993,7.383896735141953e-05,6.859043810929e-05,4.90350928256728e-05,5.374509722876296e-05,6.372053057342399e-06,7.335246884520767e-07,1.9499966710077333e-07,1.0087576579046425e-14,1.0475553844085533e-13,5.5010143302772496e-17,7.846494350765219e-23
1.006651434343136e-08,41.57777858838169,0.98,0.0,0.0,0.0,0.019876114894834027,7.433655241476756e-05,6.901926095643719e-05,4.935093868621667e-05,5.412233892859336e-05,6.4560246937732075e-06,7.435054180428497e-07,1.9761401411982227e-07,1.0364848407133466e-14,1.0685628562412936e-13,5.64861644782045e-17,8.135191571394756e-23
